"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.331036314E0,-5.036931610E1,-1.730805206E1,1.690777302E0,5.328691583E1
2.341035114E0,-4.382524109E1,-1.870942116E1,2.898757458E0,4.773988889E1
2.351033880E0,-3.690389252E1,-2.118558311E1,5.661781788E0,4.292763664E1
2.361032713E0,-3.357198334E1,-2.335776520E1,9.351484299E0,4.195370685E1
2.371031613E0,-2.889501381E1,-2.601843262E1,1.244482994E1,4.082590417E1
2.381030513E0,-2.358298683E1,-2.887791634E1,1.048906231E1,3.873127609E1
2.391029413E0,-1.737072372E1,-3.224956131E1,5.330258369E0,3.701604924E1
2.401028279E0,-7.624899864E0,-3.555927277E1,-2.622806072E0,3.646203627E1
2.411027145E0,1.169686508E1,-3.489928436E1,-1.321397114E1,3.910736165E1
2.421026011E0,2.645242119E1,-2.844936943E1,-1.694840622E1,4.238331843E1
2.431024877E0,3.618787384E1,-1.760035706E1,-1.525997543E1,4.303721218E1
2.441023743E0,3.823958206E1,-7.883325577E0,-9.609004974E0,4.020877311E1
2.451022609E0,3.403207016E1,-1.616308212E0,-4.901494980E-1,3.407395630E1
2.461021409E0,3.087123871E1,1.867279053E0,3.806639194E0,3.116104319E1
2.471020275E0,3.134434700E1,5.538275719E0,2.490656376E0,3.192716643E1
2.481019141E0,3.502387619E1,7.945258617E0,3.619644642E0,3.609571810E1
2.491017941E0,3.709017563E1,6.838825703E0,-4.792237282E-1,3.771843476E1
2.501016807E0,3.574472046E1,5.209073544E0,-2.985000610E-2,3.612229753E1
2.511015673E0,3.202179718E1,3.219738007E0,5.087394714E-1,3.218728046E1
2.521014539E0,2.873048973E1,6.091022491E-1,-5.706114769E-1,2.874261024E1
2.531013405E0,2.516346741E1,-2.064070940E0,-2.382348537E0,2.536012747E1
2.541012271E0,2.136945343E1,-5.036351204E0,-4.214272022E0,2.235572549E1
2.551011137E0,1.682726860E1,-9.055387497E0,-6.456825733E0,2.017046380E1
2.561010003E0,1.143309975E1,-1.355601311E1,-7.837173939E0,1.938820664E1
2.571008769E0,4.804530621E0,-1.720746613E1,-7.577568054E0,1.940618310E1
2.581007635E0,-8.542528152E-1,-2.079047012E1,-7.550007343E0,2.213540166E1
2.591006501E0,-8.484091759E0,-2.470587540E1,-9.719090462E0,2.787150537E1
2.601005301E0,-1.672774506E1,-2.485058594E1,-1.186960793E1,3.222199045E1
2.611004167E0,-2.766827393E1,-2.234681320E1,-1.312737083E1,3.791096553E1
2.621003033E0,-3.779312134E1,-1.759646225E1,-9.505905151E0,4.275883227E1
2.631001899E0,-4.349449158E1,-1.564301109E1,-4.869134903E0,4.647776961E1
2.641000732E0,-4.132341385E1,-1.664761734E1,7.527689934E-1,4.455709098E1
2.650999532E0,-3.511090088E1,-1.810669327E1,6.658591270E0,4.006200868E1
2.660998332E0,-3.191432953E1,-1.912294579E1,1.190554523E1,3.906345469E1
2.670997065E0,-2.884358215E1,-2.110087013E1,1.465140247E1,3.862463652E1
2.680995731E0,-2.561663437E1,-2.346216393E1,1.400362015E1,3.745379113E1
2.690994464E0,-2.231911278E1,-2.569577026E1,1.023043919E1,3.553979868E1
2.700993197E0,-1.498751926E1,-2.932014465E1,3.687222481E0,3.313445678E1
